External ID,urobilin,methylimidazole acetic acid,phenylalanine,valine,cadaverine,7-methylxanthine,C18:2 LPC,C16:0 LPC,2-deoxyadenosine,urate,spermidine,leucine,tyrosine,ADMA/SDMA,linoleate,N-acetylhistamine,N6-acetyllysine,tryptophan,"N1,N12-diacetylspermine",isoleucine
HSM7CYZ7,,204113783,1969469452,3829296408,2294174666,231165761,1488790053,2159457899,38078125,5152526,186698885,867324320,896638456,1333523160,175271654,5697278060,342330377,1294081382,473104795,415599531
MSM79H8D,17434108864,5475275608,335881720,841494649,174079968,162099646,310065004,1227335025,1698105869,171717804,214908496,347611679,115767992,71001459,68836659,514130489,92295004,88030272,203422290,241096836
ESM718SY,29952777,701788438,137499852,206362932,1295044057,187067099,23194052,67646905,103121759,15240455,172870264,77320428,63225245,408449817,80262890,767897315,93750205,14859827,121065596,67482247
HSM7J4KQ,20214647,765441469,400137973,4408606212,56006421,540974073,1780986163,2313738694,246723625,28842087,249944508,479582022,132272508,456156160,162933751,2392071787,174069314,80241658,1505089872,237505481
MSM9VZLP,1945169846,3510644791,2772729276,1686531839,230706119,,104821567,919243447,194137825,112928843,41442209,2506172772,647780002,121301632,24340310,2935672,171642602,451006947,40208608,1250467221
PSMA267P,1168266396,532877614,385875824,1514333615,13610135,239579121,155225896,344066324,543871814,221406263,308705868,497648319,145937966,56991907,106508788,301707271,161374298,102151809,140501385,259732389
CSM79HIB,,2397179321,4045562871,2459879810,2977143182,353021918,1519038787,1906842779,140831280,16651115,602249459,1084890660,1003831416,1096486244,146093535,104591235,221561958,690262551,603463355,601426202
PSM7J156,3964611019,9673093095,516194909,498752974,29602903,13841848,79217276,198693149,208107861,44665136,320739978,502796051,161305524,362791888,87783785,651022312,246837045,77946209,274523324,323889466
CSM7KOPE,380924911,1580983476,78067180,199756336,3559180,7803342,33739744,101264343,928742024,58517179,435977589,113320669,43861158,46033157,89824796,2152703,203096838,28113765,22443455,66435229
PSM7J161,,16371086,8490652634,10444777102,2237505644,71344136,33862603,382456926,89651166,154530124,57175764,5276305071,103163643,1104202795,53688756,9292389306,110620269,243858965,610399755,4522076339
ESM5MECL,,2713067067,77086731,746184687,3946396,109397068,392307689,914992616,142295163,128780938,269237729,33948980,24818466,896022004,227685641,285749364,41578143,16580501,2987679726,26557575
HSM6XRQB,,30049607,3577035224,1904120558,385484416,41791090,5381173,151079300,381018250,125541754,2048572157,3099148813,858005532,1153750627,34785766,77208598,355952619,597336803,4787612481,2027067063
PSM7J177,,804729311,7835521784,1759332612,5656581,,835530120,1956883668,381130870,895104607,67996524,3719090839,2513910539,1862307911,823334595,16604974,42792137,1825517241,117405729,1908131725
